valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
1,10228,50,0,0,0,22,3,0
0,0,132,0,0,0,19,1,1
1,2922,94,0,1,0,23,2,1
0,0,24,0,0,0,13,2,0
0,0,37,0,0,0,30,3,0
1,365,54,0,0,0,22,2,1
1,12053,52,0,0,0,14,2,0
1,366,20,0,0,0,14,2,1
1,5113,148,0,0,0,23,1,1
1,366,49,0,0,0,18,1,1
0,0,33,0,0,0,11,2,0
0,0,182,0,0,0,73,2,1
1,8401,38,0,0,0,22,3,0
1,5114,29,0,0,0,16,2,0
1,4748,86,0,0,0,23,1,1
1,365,49,0,1,0,7,1,1
1,8766,27,0,0,0,14,2,0
0,0,24,0,0,0,15,2,0
0,0,92,0,0,1,36,6,1
0,0,21,0,0,0,16,1,1
1,1461,182,0,0,0,18,1,1
1,6940,33,0,0,0,13,1,0
1,8400,27,0,0,0,15,2,0
1,3653,36,0,0,0,23,2,1
0,0,41,0,0,0,19,2,0
1,6575,21,0,0,0,8,1,0
1,6939,369,0,0,1,44,2,1
1,8400,30,0,0,0,17,2,0
0,0,28,0,0,1,18,3,0
0,0,54,0,1,0,11,1,1
0,0,154,0,0,1,83,8,1
1,8035,44,0,0,0,16,2,0
0,0,49,0,0,0,20,3,0
1,9495,27,0,0,0,15,2,0
1,9495,46,0,0,0,21,2,0
1,4749,88,0,0,0,9,1,1
1,4017,33,0,0,0,13,1,1
1,1827,37,0,0,0,22,2,0
0,0,166,0,0,1,117,8,1
1,7670,34,0,0,0,15,1,0
1,366,56,0,0,0,19,2,1
1,8035,28,0,0,0,16,2,0
